scenario,branch_id,total_cost,service_level,robustness_score,stockout_count
baseline,branch_0,366457.7922542925,0.9940046838407495,1,64
baseline,branch_1,345037.7922542922,0.9940046838407495,1,64
baseline,branch_2,383778.32983931754,0.996440281030445,1,38
baseline,branch_3,387877.79225429246,0.9940046838407495,1,64
baseline,branch_4,402498.3298393174,0.996440281030445,1,38
high_demand,branch_0,487390.3072115403,0.993082327508557,0.8404346467084975,96
high_demand,branch_1,465970.30721154023,0.993082327508557,0.7879925809188296,96
high_demand,branch_2,479076.82545172836,0.9940911547468925,0.9511654067675862,82
high_demand,branch_3,508810.30721154023,0.993082327508557,0.8928767124981656,96
high_demand,branch_4,497796.82545172825,0.9940911547468925,0.9909430951087441,82
supply_disruption,branch_0,366457.7922542925,0.9940046838407495,1,64
supply_disruption,branch_1,345037.7922542922,0.9940046838407495,1,64
supply_disruption,branch_2,383778.32983931754,0.996440281030445,1,38
supply_disruption,branch_3,387877.79225429246,0.9940046838407495,1,64
supply_disruption,branch_4,402498.3298393174,0.996440281030445,1,38
combined_stress,branch_0,442691.31451407576,0.9929742388758782,0.9104708672675389,90
combined_stress,branch_1,421271.3145140757,0.9929742388758782,0.853658629328732,90
combined_stress,branch_2,440404.6794862944,0.9942232630757221,1,74
combined_stress,branch_3,464111.3145140757,0.9929742388758782,0.967283105206346,90
combined_stress,branch_4,459124.6794862943,0.9942232630757221,1,74
baseline,branch_0,366457.7922542925,0.9940046838407495,1,64
baseline,branch_1,345037.7922542922,0.9940046838407495,1,64
baseline,branch_2,383778.32983931754,0.996440281030445,1,38
baseline,branch_3,387877.79225429246,0.9940046838407495,1,64
baseline,branch_4,402498.3298393174,0.996440281030445,1,38
baseline,branch_5,323617.792254292,0.9940046838407495,0.95621566966791,64
baseline,branch_6,368598.32983931765,0.996440281030445,1,38
baseline,branch_7,366457.7922542925,0.9940046838407495,1,64
high_demand,branch_0,487390.3072115403,0.993082327508557,0.8404346467084975,96
high_demand,branch_1,465970.30721154023,0.993082327508557,0.7879925809188296,96
high_demand,branch_2,479076.82545172836,0.9940911547468925,0.9511654067675862,82
high_demand,branch_3,508810.30721154023,0.993082327508557,0.8928767124981656,96
high_demand,branch_4,497796.82545172825,0.9940911547468925,0.9909430951087441,82
high_demand,branch_5,444550.30721154006,0.993082327508557,0.7355505151291616,96
high_demand,branch_6,463896.8254517285,0.9940911547468925,0.915923383714695,82
high_demand,branch_7,487390.3072115403,0.993082327508557,0.8404346467084975,96
supply_disruption,branch_0,366457.7922542925,0.9940046838407495,1,64
supply_disruption,branch_1,345037.7922542922,0.9940046838407495,1,64
supply_disruption,branch_2,383778.32983931754,0.996440281030445,1,38
supply_disruption,branch_3,387877.79225429246,0.9940046838407495,1,64
supply_disruption,branch_4,402498.3298393174,0.996440281030445,1,38
supply_disruption,branch_5,323617.792254292,0.9940046838407495,0.95621566966791,64
supply_disruption,branch_6,368598.32983931765,0.996440281030445,1,38
supply_disruption,branch_7,366457.7922542925,0.9940046838407495,1,64
combined_stress,branch_0,442691.31451407576,0.9929742388758782,0.9104708672675389,90
combined_stress,branch_1,421271.3145140757,0.9929742388758782,0.853658629328732,90
combined_stress,branch_2,440404.6794862944,0.9942232630757221,1,74
combined_stress,branch_3,464111.3145140757,0.9929742388758782,0.967283105206346,90
combined_stress,branch_4,459124.6794862943,0.9942232630757221,1,74
combined_stress,branch_5,399851.31451407546,0.9929742388758782,0.7968463913899251,90
combined_stress,branch_6,425224.6794862945,0.9942232630757221,0.9922503323575862,74
combined_stress,branch_7,442691.31451407576,0.9929742388758782,0.9104708672675389,90
