optimization_id,method,status,total_cost,run_timestamp
SCIP Solver_2025-03-18_13-29-56,SCIP Solver,optimal,30229.99786526575,2025-03-18 13:29:56
Heuristic_2025-03-18_13-29-56,Heuristic,heuristic,40519.10752989524,2025-03-18 13:29:56
SCIP Solver_2025-03-19_10-00-14,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:00:14
Heuristic_2025-03-19_10-00-15,Heuristic,heuristic,40519.10752989524,2025-03-19 10:00:15
SCIP Solver_2025-03-19_10-01-34,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:01:34
Heuristic_2025-03-19_10-01-34,Heuristic,heuristic,40519.10752989524,2025-03-19 10:01:34
SCIP Solver_2025-03-19_10-02-21,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:02:21
Heuristic_2025-03-19_10-02-22,Heuristic,heuristic,40519.10752989524,2025-03-19 10:02:22
SCIP Solver_2025-03-19_10-03-19,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:03:19
Heuristic_2025-03-19_10-03-20,Heuristic,heuristic,40519.10752989524,2025-03-19 10:03:20
SCIP Solver_2025-03-19_10-04-17,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:04:17
Heuristic_2025-03-19_10-04-17,Heuristic,heuristic,40519.10752989524,2025-03-19 10:04:17
SCIP Solver_2025-03-19_10-05-16,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:05:16
Heuristic_2025-03-19_10-05-17,Heuristic,heuristic,40519.10752989524,2025-03-19 10:05:17
SCIP Solver_2025-03-19_10-06-25,SCIP Solver,optimal,30229.99786526575,2025-03-19 10:06:25
Heuristic_2025-03-19_10-06-26,Heuristic,heuristic,40519.10752989524,2025-03-19 10:06:26
SCIP Solver_2025-03-19_11-04-48,SCIP Solver,optimal,30229.99786526575,2025-03-19 11:04:48
Heuristic_2025-03-19_11-04-48,Heuristic,heuristic,40519.10752989524,2025-03-19 11:04:48
SCIP Solver_2025-03-19_11-15-13,SCIP Solver,optimal,30229.99786526575,2025-03-19 11:15:13
Heuristic_2025-03-19_11-15-14,Heuristic,heuristic,40519.10752989524,2025-03-19 11:15:14
SCIP Solver_2025-03-19_11-29-37,SCIP Solver,optimal,30229.99786526575,2025-03-19 11:29:37
Heuristic_2025-03-19_11-29-38,Heuristic,heuristic,40519.10752989524,2025-03-19 11:29:38
